0,0,0,0,1,1,95.10839,638,57,8044160
0,0,0,1,1,1,158.4153,167,9,3652860
0,0,0,2,1,1,90.43504,6811,3115,7584960
0,0,0,3,1,1,138.5447,2560,461,7404692
0,0,0,4,1,1,90.43504,8571,5027,8275568
0,0,0,-1,1.25,1.25,90.76347,2392,394,9154300
0,0,0,-1,1.25,2,147.128,4350,297,10992488
0,0,0,-1,2,2,144.3204,6436,393,6549708
0,0,0,-1,2,1.25,95.37617,8191,213,7630904
0,0,1,0,2,1.25,165.3565,108,3,8294884
0,0,1,0,1.25,1.25,156.4509,276,7,9908232
0,0,1,0,2,1.25,165.3565,108,3,7940580
0,0,1,1,2,1.25,175.9778,117,3,8718576
0,0,1,1,1.25,1.25,168.5575,135,3,9802560
0,0,1,1,2,1.25,175.9778,117,3,7526064
0,0,1,2,2,1.25,94.02996,1309,123,9340732
0,0,1,2,1.25,1.25,90.43504,4764,1550,9539604
0,0,1,2,2,1.25,94.02996,1309,119,12582464
0,0,1,3,2,1.25,163.7867,388,27,10350220
0,0,1,3,1.25,1.25,142.666,900,64,11142456
0,0,1,3,2,1.25,163.7867,388,19,11910572
0,0,1,4,2,1.25,93.71931,4867,1584,7622556
0,0,1,4,1.25,1.25,90.43504,7546,4191,8567960
0,0,1,4,2,1.25,93.71931,4867,1690,10601664
0,0,1,-1,1.25,1.25,90.76347,10583,377,8227596
0,0,1,-1,1.25,2,147.128,12541,253,8559116
0,0,1,-1,2,2,144.3204,14627,372,9469984
0,0,1,-1,2,1.25,95.37617,16382,200,8892932
0,0,2,-1,2,1.25,90.43504,12156,12081,11232040
0,0,2,-1,1.25,1.25,90.76347,18774,379,9463456
0,0,2,-1,1.25,2,147.128,20732,298,10864176
0,0,2,-1,2,2,144.3204,22818,435,9053624
0,0,2,-1,2,1.25,95.37617,24573,219,10395448
0,0,3,-1,1.25,1.25,90.43504,6810,4308,10651944
0,0,3,-1,1.25,2,90.43504,6810,4556,10501332
0,0,3,-1,2,2,90.43504,6810,4380,10559420
0,0,3,-1,2,1.25,90.43504,6810,4340,15009168
0,0,4,-1,1.25,1.25,90.76347,26965,369,13549112
0,0,4,-1,1.25,2,147.128,28923,309,11352216
0,0,4,-1,2,2,144.3204,31009,334,13082604
0,0,4,-1,2,1.25,95.37617,32764,201,14471292
0,1,0,0,2,1.25,93.83329,1320,148,10816180
0,1,0,1,2,1.25,151.0183,1111,79,11897648
0,1,0,2,2,1.25,89.70587,6894,3421,13246072
0,1,0,3,2,1.25,90.36273,4676,1552,13886732
0,1,0,4,2,1.25,89.70587,7523,3976,13342792
0,1,0,-1,1.25,1.25,90.69852,37175,889,12052088
0,1,0,-1,1.25,2,108.1544,39365,308,11801124
0,1,0,-1,2,2,98.31123,42833,624,12603056
0,1,0,-1,2,1.25,99.38966,46092,605,14367756
0,1,1,0,2,1.25,151.7107,134,6,11987636
0,1,1,0,1.25,1.25,144.3615,447,15,13417876
0,1,1,0,2,1.25,151.7107,134,3,13924048
0,1,1,1,2,1.25,169.7818,129,2,14396416
